id_gestion,id_mora,fecha_gestion,tipo_contacto,resultado_gestion
40084,30042,2025-04-22 00:00:00,Correo,Cliente responde solicitando plazo adicional
40085,30042,2025-05-02 00:00:00,Llamada,Cliente promete pagar en 5 días
40086,30042,2025-05-01 00:00:00,Visita Domiciliaria,Se deja aviso de cobro en puerta
40087,30043,2025-05-22 00:00:00,Correo,Correo enviado sin respuesta
40088,30043,2025-05-22 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40089,30044,2025-06-18 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40090,30045,2025-07-19 00:00:00,Correo,Correo enviado sin respuesta
40091,30045,2025-07-25 00:00:00,Visita Domiciliaria,Cliente recibe notificación de cobro
40092,30046,2025-08-25 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40093,30046,2025-09-01 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40094,30047,2025-09-27 00:00:00,Visita Domiciliaria,Cliente recibe notificación de cobro
40095,30047,2025-09-26 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40096,30048,2025-10-25 00:00:00,Llamada,Buzón de voz — se deja mensaje
40097,30048,2025-10-31 00:00:00,Llamada,Buzón de voz — se deja mensaje
40098,30048,2025-10-30 00:00:00,Correo,Correo rebotado — dirección inválida
40099,30049,2025-11-24 00:00:00,Llamada,Cliente no contesta
40100,30049,2025-11-23 00:00:00,Correo,Correo rebotado — dirección inválida
40101,30049,2025-11-27 00:00:00,Llamada,Cliente promete pagar en 5 días
40102,30050,2025-12-21 00:00:00,SMS,Cliente responde confirmando pago próximo
40103,30050,2025-12-30 00:00:00,Correo,Correo enviado sin respuesta
40104,30050,2025-12-28 00:00:00,SMS,Número no recibe SMS
40105,30051,2024-01-25 00:00:00,Visita Domiciliaria,Se deja aviso de cobro en puerta
40106,30053,2025-01-25 00:00:00,Visita Domiciliaria,Cliente recibe notificación de cobro
40107,30053,2025-01-22 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40108,30053,2025-02-01 00:00:00,Visita Domiciliaria,Cliente recibe notificación de cobro
40109,30054,2025-02-18 00:00:00,Visita Domiciliaria,Cliente firma acuerdo de pago
40110,30054,2025-03-03 00:00:00,Llamada,Cliente promete pagar en 5 días
40111,30054,2025-03-01 00:00:00,Correo,Cliente responde solicitando plazo adicional
40112,30055,2025-05-17 00:00:00,Visita Domiciliaria,Se deja aviso de cobro en puerta
40113,30055,2025-05-28 00:00:00,Correo,Cliente responde solicitando plazo adicional
40114,30056,2025-09-19 00:00:00,Llamada,Cliente no contesta
40115,30056,2025-09-28 00:00:00,Correo,Cliente confirma recepción y promete pago
40116,30057,2025-12-20 00:00:00,Llamada,Cliente solicita refinanciación
40117,30058,2024-08-21 00:00:00,Correo,Cliente responde solicitando plazo adicional
40118,30058,2024-08-25 00:00:00,Visita Domiciliaria,Cliente recibe notificación de cobro
40119,30059,2024-09-22 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40120,30059,2024-09-26 00:00:00,Visita Domiciliaria,Cliente firma acuerdo de pago
40121,30060,2025-01-25 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40122,30060,2025-01-23 00:00:00,Correo,Correo rebotado — dirección inválida
40123,30060,2025-01-29 00:00:00,Llamada,Buzón de voz — se deja mensaje
40124,30062,2025-06-18 00:00:00,Llamada,Buzón de voz — se deja mensaje
40125,30063,2025-10-22 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40126,30063,2025-10-23 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40127,30063,2025-10-30 00:00:00,Llamada,Cliente solicita refinanciación
40128,30064,2023-12-25 00:00:00,Correo,Cliente responde solicitando plazo adicional
40129,30065,2024-01-23 00:00:00,Visita Domiciliaria,Se deja aviso de cobro en puerta
40130,30065,2024-01-31 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40131,30066,2024-02-21 00:00:00,Llamada,Cliente solicita refinanciación
40132,30066,2024-02-27 00:00:00,Llamada,Buzón de voz — se deja mensaje
40133,30066,2024-03-06 00:00:00,Visita Domiciliaria,Cliente firma acuerdo de pago
40134,30067,2024-03-23 00:00:00,Llamada,Cliente promete pagar en 5 días
40135,30067,2024-03-31 00:00:00,Llamada,Cliente solicita refinanciación
40136,30067,2024-04-04 00:00:00,Correo,Correo rebotado — dirección inválida
40137,30068,2024-04-20 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40138,30068,2024-05-01 00:00:00,Llamada,Cliente solicita refinanciación
40139,30069,2024-05-24 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40140,30069,2024-05-29 00:00:00,Llamada,Cliente promete pagar en 5 días
40141,30070,2024-06-18 00:00:00,Visita Domiciliaria,Se deja aviso de cobro en puerta
40142,30070,2024-06-23 00:00:00,Correo,Cliente responde solicitando plazo adicional
40143,30070,2024-07-07 00:00:00,Visita Domiciliaria,Cliente recibe notificación de cobro
40144,30071,2024-07-17 00:00:00,Visita Domiciliaria,Cliente firma acuerdo de pago
40145,30072,2024-08-18 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40146,30072,2024-08-25 00:00:00,Llamada,Cliente solicita refinanciación
40147,30072,2024-09-03 00:00:00,Visita Domiciliaria,Cliente recibe notificación de cobro
40148,30073,2024-09-17 00:00:00,Correo,Correo enviado sin respuesta
40149,30073,2024-09-28 00:00:00,Visita Domiciliaria,Cliente firma acuerdo de pago
40150,30073,2024-09-27 00:00:00,Llamada,Cliente no contesta
40151,30074,2024-10-19 00:00:00,Correo,Correo rebotado — dirección inválida
40152,30074,2024-10-29 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40153,30075,2024-11-25 00:00:00,Llamada,Cliente promete pagar en 5 días
40154,30075,2024-11-29 00:00:00,Llamada,Cliente promete pagar en 5 días
40155,30076,2024-12-21 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40156,30076,2024-12-29 00:00:00,Llamada,Buzón de voz — se deja mensaje
40157,30076,2025-01-03 00:00:00,Visita Domiciliaria,Se deja aviso de cobro en puerta
40158,30077,2025-01-21 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40159,30078,2025-02-19 00:00:00,Visita Domiciliaria,Cliente recibe notificación de cobro
40160,30079,2025-03-20 00:00:00,Visita Domiciliaria,Cliente firma acuerdo de pago
40161,30079,2025-03-27 00:00:00,Llamada,Cliente solicita refinanciación
40162,30079,2025-03-27 00:00:00,Visita Domiciliaria,Cliente firma acuerdo de pago
40163,30080,2025-04-26 00:00:00,Correo,Correo enviado sin respuesta
40164,30080,2025-05-01 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40165,30081,2025-05-21 00:00:00,Llamada,Cliente solicita refinanciación
40166,30081,2025-05-30 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40167,30082,2025-06-20 00:00:00,Llamada,Buzón de voz — se deja mensaje
40168,30082,2025-06-28 00:00:00,Llamada,Cliente solicita refinanciación
40169,30082,2025-07-02 00:00:00,Llamada,Cliente solicita refinanciación
40170,30083,2025-07-19 00:00:00,Correo,Cliente responde solicitando plazo adicional
40171,30083,2025-07-31 00:00:00,Llamada,Cliente solicita refinanciación
40172,30083,2025-08-05 00:00:00,Llamada,Cliente no contesta
40173,30084,2025-08-27 00:00:00,Llamada,Cliente solicita refinanciación
40174,30085,2025-09-17 00:00:00,Visita Domiciliaria,Se deja aviso de cobro en puerta
40175,30086,2025-10-24 00:00:00,Llamada,Cliente solicita refinanciación
40176,30087,2025-11-23 00:00:00,Llamada,Cliente no contesta
40177,30087,2025-11-29 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40178,30088,2025-12-22 00:00:00,SMS,SMS enviado exitosamente
40179,30089,2024-12-17 00:00:00,Llamada,Cliente promete pagar en 5 días
40180,30089,2024-12-25 00:00:00,Correo,Cliente responde solicitando plazo adicional
40181,30089,2024-12-30 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40182,30090,2023-06-20 00:00:00,Llamada,Buzón de voz — se deja mensaje
40183,30090,2023-06-27 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40184,30090,2023-06-29 00:00:00,Correo,Correo enviado sin respuesta
40185,30092,2023-09-17 00:00:00,Correo,Cliente confirma recepción y promete pago
40186,30092,2023-09-28 00:00:00,Correo,Cliente responde solicitando plazo adicional
40187,30092,2023-09-28 00:00:00,Llamada,Cliente promete pagar en 5 días
40188,30093,2023-11-21 00:00:00,Correo,Correo enviado sin respuesta
40189,30094,2023-12-17 00:00:00,Visita Domiciliaria,Cliente firma acuerdo de pago
40190,30094,2024-01-01 00:00:00,Visita Domiciliaria,Se deja aviso de cobro en puerta
40191,30094,2023-12-27 00:00:00,Correo,Cliente confirma recepción y promete pago
40192,30095,2024-11-23 00:00:00,Correo,Cliente confirma recepción y promete pago
40193,30096,2024-12-19 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40194,30096,2025-01-01 00:00:00,Visita Domiciliaria,Cliente firma acuerdo de pago
40195,30096,2025-01-03 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40196,30097,2025-07-22 00:00:00,Correo,Correo enviado sin respuesta
40197,30097,2025-07-26 00:00:00,Correo,Cliente responde solicitando plazo adicional
40198,30098,2023-06-26 00:00:00,Llamada,Cliente solicita refinanciación
40199,30098,2023-06-27 00:00:00,Visita Domiciliaria,Se deja aviso de cobro en puerta
40200,30099,2023-11-24 00:00:00,Visita Domiciliaria,Se deja aviso de cobro en puerta
40201,30100,2024-05-21 00:00:00,Correo,Correo rebotado — dirección inválida
40202,30100,2024-05-30 00:00:00,Visita Domiciliaria,Cliente recibe notificación de cobro
40203,30101,2024-06-20 00:00:00,Llamada,Cliente solicita refinanciación
40204,30102,2024-10-20 00:00:00,Llamada,Cliente solicita refinanciación
40205,30102,2024-10-29 00:00:00,Llamada,Cliente no contesta
40206,30102,2024-10-31 00:00:00,Visita Domiciliaria,Cliente recibe notificación de cobro
40207,30103,2025-04-27 00:00:00,Llamada,Cliente solicita refinanciación
40208,30103,2025-04-30 00:00:00,Llamada,Cliente solicita refinanciación
40209,30104,2025-06-25 00:00:00,Visita Domiciliaria,Cliente firma acuerdo de pago
40210,30104,2025-06-26 00:00:00,Visita Domiciliaria,Cliente recibe notificación de cobro
40211,30104,2025-06-28 00:00:00,Llamada,Buzón de voz — se deja mensaje
40212,30105,2025-09-25 00:00:00,Correo,Cliente responde solicitando plazo adicional
40213,30107,2025-12-20 00:00:00,Correo,Correo rebotado — dirección inválida
40214,30108,2023-02-26 00:00:00,Correo,Correo rebotado — dirección inválida
40215,30108,2023-02-23 00:00:00,Correo,Correo rebotado — dirección inválida
40216,30108,2023-03-02 00:00:00,Visita Domiciliaria,Se deja aviso de cobro en puerta
40217,30109,2023-03-25 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40218,30110,2023-05-25 00:00:00,Visita Domiciliaria,Cliente recibe notificación de cobro
40219,30111,2023-07-24 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40220,30111,2023-07-31 00:00:00,Visita Domiciliaria,Cliente firma acuerdo de pago
40221,30111,2023-08-03 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40222,30112,2023-10-24 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40223,30112,2023-10-28 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40224,30114,2025-02-27 00:00:00,Visita Domiciliaria,Cliente recibe notificación de cobro
40225,30114,2025-03-03 00:00:00,Correo,Correo enviado sin respuesta
40226,30114,2025-03-02 00:00:00,Visita Domiciliaria,Cliente firma acuerdo de pago
40227,30115,2025-07-26 00:00:00,Llamada,Cliente promete pagar en 5 días
40228,30115,2025-07-30 00:00:00,Visita Domiciliaria,Cliente firma acuerdo de pago
40229,30115,2025-07-31 00:00:00,Correo,Cliente confirma recepción y promete pago
40230,30116,2025-11-26 00:00:00,Correo,Correo enviado sin respuesta
40231,30116,2025-11-25 00:00:00,Correo,Correo rebotado — dirección inválida
40232,30117,2024-07-18 00:00:00,Visita Domiciliaria,Cliente recibe notificación de cobro
40233,30117,2024-07-30 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40234,30117,2024-08-02 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40235,30118,2024-08-21 00:00:00,Visita Domiciliaria,Se deja aviso de cobro en puerta
40236,30118,2024-08-26 00:00:00,Llamada,Cliente solicita refinanciación
40237,30119,2024-12-27 00:00:00,Visita Domiciliaria,Se deja aviso de cobro en puerta
40238,30120,2025-01-26 00:00:00,Llamada,Cliente promete pagar en 5 días
40239,30120,2025-01-28 00:00:00,Visita Domiciliaria,Cliente recibe notificación de cobro
40240,30120,2025-02-06 00:00:00,Visita Domiciliaria,Se deja aviso de cobro en puerta
40241,30121,2025-07-18 00:00:00,Visita Domiciliaria,Se deja aviso de cobro en puerta
40242,30122,2025-08-26 00:00:00,Correo,Cliente confirma recepción y promete pago
40243,30122,2025-08-23 00:00:00,Llamada,Buzón de voz — se deja mensaje
40244,30122,2025-09-02 00:00:00,Correo,Cliente confirma recepción y promete pago
40245,30123,2024-08-18 00:00:00,Llamada,Cliente solicita refinanciación
40246,30123,2024-08-27 00:00:00,Llamada,Cliente no contesta
40247,30126,2025-03-20 00:00:00,Correo,Correo enviado sin respuesta
40248,30127,2025-04-21 00:00:00,Llamada,Cliente promete pagar en 5 días
40249,30127,2025-04-29 00:00:00,Llamada,Cliente solicita refinanciación
40250,30127,2025-05-01 00:00:00,Visita Domiciliaria,Cliente firma acuerdo de pago
40251,30128,2025-07-24 00:00:00,Correo,Cliente confirma recepción y promete pago
40252,30128,2025-07-27 00:00:00,Llamada,Buzón de voz — se deja mensaje
40253,30128,2025-08-06 00:00:00,Visita Domiciliaria,Cliente recibe notificación de cobro
40254,30130,2025-11-23 00:00:00,Correo,Correo rebotado — dirección inválida
40255,30130,2025-12-02 00:00:00,SMS,Número no recibe SMS
40256,30131,2025-12-24 00:00:00,SMS,Cliente responde confirmando pago próximo
40257,30132,2023-06-18 00:00:00,Correo,Cliente confirma recepción y promete pago
40258,30132,2023-06-30 00:00:00,Correo,Correo enviado sin respuesta
40259,30133,2023-07-25 00:00:00,Llamada,Cliente no contesta
40260,30133,2023-07-25 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40261,30133,2023-08-03 00:00:00,Llamada,Cliente no contesta
40262,30134,2024-05-21 00:00:00,Llamada,Buzón de voz — se deja mensaje
40263,30135,2024-07-24 00:00:00,Visita Domiciliaria,Cliente recibe notificación de cobro
40264,30135,2024-07-24 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40265,30137,2025-09-23 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40266,30137,2025-09-29 00:00:00,Correo,Cliente responde solicitando plazo adicional
40267,30137,2025-10-04 00:00:00,Correo,Correo rebotado — dirección inválida
40268,30138,2023-05-21 00:00:00,Llamada,Cliente solicita refinanciación
40269,30138,2023-05-29 00:00:00,Visita Domiciliaria,Cliente recibe notificación de cobro
40270,30138,2023-06-02 00:00:00,Visita Domiciliaria,Cliente recibe notificación de cobro
40271,30140,2024-06-21 00:00:00,Llamada,Cliente solicita refinanciación
40272,30141,2025-08-25 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40273,30141,2025-08-26 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40274,30142,2025-10-27 00:00:00,Llamada,Cliente promete pagar en 5 días
40275,30142,2025-10-29 00:00:00,Llamada,Buzón de voz — se deja mensaje
40276,30142,2025-11-01 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40277,30143,2025-12-24 00:00:00,Llamada,Cliente promete pagar en 5 días
40278,30143,2025-12-25 00:00:00,Correo,Cliente responde solicitando plazo adicional
40279,30144,2023-04-17 00:00:00,Visita Domiciliaria,Cliente firma acuerdo de pago
40280,30144,2023-04-28 00:00:00,Visita Domiciliaria,Cliente recibe notificación de cobro
40281,30145,2023-06-17 00:00:00,Visita Domiciliaria,Se deja aviso de cobro en puerta
40282,30145,2023-06-23 00:00:00,Correo,Cliente confirma recepción y promete pago
40283,30146,2023-07-25 00:00:00,Correo,Correo enviado sin respuesta
40284,30147,2023-08-19 00:00:00,Llamada,Cliente promete pagar en 5 días
40285,30147,2023-08-23 00:00:00,Llamada,Buzón de voz — se deja mensaje
40286,30147,2023-09-01 00:00:00,Llamada,Cliente solicita refinanciación
40287,30148,2023-11-18 00:00:00,Correo,Cliente confirma recepción y promete pago
40288,30148,2023-11-27 00:00:00,Llamada,Cliente solicita refinanciación
40289,30148,2023-12-05 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40290,30150,2024-07-27 00:00:00,Llamada,Buzón de voz — se deja mensaje
40291,30153,2025-05-18 00:00:00,Llamada,Cliente no contesta
40292,30154,2025-07-18 00:00:00,Llamada,Buzón de voz — se deja mensaje
40293,30154,2025-07-22 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40294,30154,2025-07-31 00:00:00,Visita Domiciliaria,Cliente firma acuerdo de pago
40295,30155,2025-11-20 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40296,30156,2023-09-19 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40297,30156,2023-10-01 00:00:00,Correo,Cliente responde solicitando plazo adicional
40298,30156,2023-10-04 00:00:00,Correo,Cliente responde solicitando plazo adicional
40299,30157,2023-10-24 00:00:00,Llamada,Cliente solicita refinanciación
40300,30158,2023-11-27 00:00:00,Visita Domiciliaria,Cliente firma acuerdo de pago
40301,30158,2023-11-26 00:00:00,Llamada,Cliente promete pagar en 5 días
40302,30159,2023-12-24 00:00:00,Correo,Correo rebotado — dirección inválida
40303,30160,2024-02-23 00:00:00,Llamada,Cliente solicita refinanciación
40304,30160,2024-02-26 00:00:00,Visita Domiciliaria,Cliente firma acuerdo de pago
40305,30160,2024-03-05 00:00:00,Visita Domiciliaria,Cliente firma acuerdo de pago
40306,30161,2024-03-22 00:00:00,Llamada,Buzón de voz — se deja mensaje
40307,30161,2024-03-22 00:00:00,Correo,Cliente confirma recepción y promete pago
40308,30161,2024-03-31 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40309,30164,2024-09-24 00:00:00,Correo,Correo rebotado — dirección inválida
40310,30164,2024-09-25 00:00:00,Llamada,Buzón de voz — se deja mensaje
40311,30164,2024-09-30 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40312,30165,2024-10-27 00:00:00,Llamada,Cliente promete pagar en 5 días
40313,30165,2024-11-01 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40314,30166,2024-11-24 00:00:00,Visita Domiciliaria,Se deja aviso de cobro en puerta
40315,30166,2024-11-24 00:00:00,Visita Domiciliaria,Se deja aviso de cobro en puerta
40316,30169,2025-03-23 00:00:00,Visita Domiciliaria,Cliente recibe notificación de cobro
40317,30169,2025-03-30 00:00:00,Correo,Correo rebotado — dirección inválida
40318,30170,2025-11-25 00:00:00,SMS,SMS enviado exitosamente
40319,30170,2025-11-26 00:00:00,SMS,Cliente responde confirmando pago próximo
40320,30170,2025-12-01 00:00:00,Correo,Correo rebotado — dirección inválida
40321,30171,2023-01-24 00:00:00,Correo,Cliente responde solicitando plazo adicional
40322,30172,2023-05-27 00:00:00,Llamada,Cliente solicita refinanciación
40323,30173,2023-11-22 00:00:00,Visita Domiciliaria,Cliente firma acuerdo de pago
40324,30173,2023-11-22 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40325,30173,2023-12-04 00:00:00,Visita Domiciliaria,Se deja aviso de cobro en puerta
40326,30174,2024-01-23 00:00:00,Correo,Correo rebotado — dirección inválida
40327,30174,2024-01-23 00:00:00,Llamada,Cliente solicita refinanciación
40328,30174,2024-01-27 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40329,30175,2024-02-26 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40330,30175,2024-03-03 00:00:00,Correo,Correo rebotado — dirección inválida
40331,30176,2024-05-23 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40332,30176,2024-05-22 00:00:00,Visita Domiciliaria,Cliente firma acuerdo de pago
40333,30176,2024-05-28 00:00:00,Visita Domiciliaria,Cliente recibe notificación de cobro
40334,30177,2024-09-24 00:00:00,Visita Domiciliaria,Cliente firma acuerdo de pago
40335,30177,2024-10-01 00:00:00,Llamada,Cliente promete pagar en 5 días
40336,30178,2024-11-27 00:00:00,Visita Domiciliaria,Cliente firma acuerdo de pago
40337,30178,2024-12-01 00:00:00,Llamada,Buzón de voz — se deja mensaje
