id_producto_activo,id_producto_banco,id_cliente,numero_contrato,monto_aprobado,tasa_interes_mensual,tasa_interes_mora,fecha_inicio,fecha_vencimiento,estado,numero_cuotas,valor_cuota_fija,cupo_disponible,dia_corte
10055,9,3203,FBV-934193,6000000,2.14,2.83,2023-04-21,,Cancelada,,,5800000.0,15.0
10056,10,3203,TYK-714044,6200000,1.91,2.5,2024-05-19,,Vigente,,,3500000.0,15.0
10057,7,6298,QBH-998026,1048200000,1.1,1.4,2023-08-30,2029-07-29,Cancelada,72.0,21152484.0,,
10058,8,6298,BTF-283190,3900000,1.33,1.73,2023-01-22,2027-01-01,Vigente,48.0,110447.0,,
10059,5,6312,GDK-104354,4100000,2.28,2.84,2023-05-15,2029-10-10,Vigente,78.0,112942.0,,
10060,7,6312,QAZ-841748,1142700000,1.04,1.33,2023-08-15,2029-07-14,Vigente,72.0,22626262.0,,
10061,9,6312,PHN-471685,5600000,1.76,2.21,2023-11-26,,Vigente,,,4200000.0,15.0
10062,9,6797,RMC-047310,4500000,1.81,2.33,2024-02-13,,Cancelada,,,3400000.0,15.0
10063,11,6797,SZP-352621,21200000,1.95,2.5,2024-07-29,,Cancelada,,,19300000.0,15.0
10064,8,6797,OTQ-656660,16000000,1.76,2.21,2024-07-23,2028-07-02,Vigente,48.0,496484.0,,
10065,10,5194,NJL-133958,10700000,1.97,2.42,2023-05-27,,Vigente,,,8000000.0,2.0
10066,5,5194,LPK-253165,15100000,2.03,2.71,2023-06-09,2029-05-08,Vigente,72.0,400842.0,,
10067,6,9098,ATE-375880,475400000,1.36,1.74,2023-11-05,2034-09-08,Vigente,132.0,7772043.0,,
10068,8,9098,OSK-103868,18600000,1.46,1.76,2023-02-13,2025-02-02,Cancelada,24.0,924280.0,,
10069,5,9098,KII-315159,9800000,2.27,2.83,2024-01-06,2030-11-30,Vigente,84.0,262260.0,,
10070,5,2913,QMO-568693,49400000,1.86,2.48,2023-06-27,2028-05-31,Cancelada,60.0,1373377.0,,
10071,9,2913,JBM-032690,3900000,2.15,2.78,2024-10-04,,Vigente,,,2900000.0,15.0
10072,8,2913,BXO-165948,21300000,1.46,1.83,2024-08-31,2028-08-10,En_Mora,48.0,620358.0,,
10073,10,2913,NPJ-937606,14800000,1.61,2.14,2023-12-18,,Castigada,,,4800000.0,15.0
10074,5,3810,PDJ-963593,22400000,2.17,3.02,2023-10-18,2028-09-21,Vigente,60.0,671197.0,,
10075,10,3810,LJJ-129421,11400000,1.89,2.32,2024-01-21,,Vigente,,,9000000.0,2.0
10076,5,5274,BJS-967722,13100000,1.84,2.27,2024-09-24,2029-08-29,En_Mora,60.0,362404.0,,
10077,10,5274,HJN-988126,14000000,1.71,2.28,2024-04-25,,Vigente,,,9800000.0,15.0
10078,11,5569,XYK-333023,15500000,2.29,2.82,2023-06-14,,En_Mora,,,9400000.0,2.0
10079,5,5569,XMV-746902,67600000,1.63,2.21,2023-04-12,2028-03-16,Vigente,60.0,1774477.0,,
10080,10,5569,DGQ-608456,10500000,2.26,2.95,2023-06-03,,Vigente,,,4000000.0,15.0
10081,7,5569,OER-539575,404000000,1.14,1.42,2024-08-11,2030-07-11,Vigente,72.0,8255652.0,,
10082,9,8524,BGR-157133,2700000,1.79,2.29,2024-02-04,,Vigente,,,1500000.0,2.0
10083,10,1813,XII-384062,5600000,2.43,3.14,2023-05-19,,En_Mora,,,2800000.0,2.0
10084,9,1813,XKZ-449587,7200000,1.98,2.43,2023-02-18,,En_Mora,,,4000000.0,15.0
10085,8,1813,CRH-646308,18400000,2.0,2.44,2023-03-22,2025-03-11,Cancelada,24.0,972828.0,,
10086,10,4426,BUJ-356693,6600000,1.71,2.34,2024-11-26,,Vigente,,,5100000.0,15.0
10087,7,4426,CTM-352249,752600000,1.53,1.9,2023-03-20,2027-02-27,Vigente,48.0,22249452.0,,
10088,8,3780,VIJ-058879,8600000,1.71,2.22,2024-04-07,2028-03-17,Vigente,48.0,264090.0,,
10089,11,3780,MJO-491803,13500000,1.87,2.33,2024-10-15,,Vigente,,,13400000.0,2.0
10090,11,9669,DNW-853192,22800000,1.74,2.32,2023-11-21,,En_Mora,,,12300000.0,2.0
10091,9,9669,HNN-191676,7400000,2.45,3.06,2024-06-15,,Vigente,,,5500000.0,15.0
10092,6,9669,GFO-608563,68500000,1.42,1.72,2024-07-31,2041-05-03,En_Mora,204.0,1030769.0,,
10093,9,3503,FPI-778913,1700000,2.22,2.97,2024-12-02,,Vigente,,,700000.0,15.0
10094,7,3934,ZXV-971194,251700000,1.29,1.6,2023-05-25,2029-04-23,Vigente,72.0,5388029.0,,
10095,8,3934,FJB-486458,20900000,1.09,1.35,2023-11-12,2026-04-30,Cancelada,30.0,820525.0,,
10096,5,3934,KOF-505729,13300000,1.75,2.23,2024-03-17,2031-02-09,Vigente,84.0,303403.0,,
10097,5,7257,BDI-446536,46000000,1.6,1.97,2023-12-14,2030-11-07,Vigente,84.0,999443.0,,
10098,11,7257,HVJ-695776,17900000,1.98,2.71,2023-06-16,,En_Mora,,,12800000.0,15.0
10099,7,2949,RAY-103164,654500000,1.52,1.93,2024-08-20,2029-07-25,Vigente,60.0,16705568.0,,
10100,5,7169,LNO-686824,28000000,1.97,2.57,2024-07-28,2030-12-24,Cancelada,78.0,705686.0,,
10101,8,7169,SRM-459725,12600000,1.3,1.68,2023-09-10,2025-08-30,Cancelada,24.0,614530.0,,
10102,11,7169,HSJ-424259,17600000,2.29,3.12,2024-07-10,,Vigente,,,17000000.0,2.0
10103,10,7169,NQB-471705,7700000,1.76,2.37,2024-12-13,,Vigente,,,3600000.0,2.0
10104,7,7169,THH-076278,577300000,1.94,2.5,2023-06-11,2028-05-15,Vigente,60.0,16367364.0,,
10105,11,6275,OCZ-295498,13700000,2.2,3.02,2024-05-22,,Vigente,,,6900000.0,2.0
10106,8,6275,GET-757188,12400000,1.81,2.23,2024-04-24,2027-10-06,Vigente,42.0,424082.0,,
10107,10,4696,YHS-066013,9800000,2.47,2.97,2023-05-24,,En_Mora,,,5600000.0,15.0
10108,7,4696,QYJ-294493,870400000,1.92,2.47,2024-02-20,2028-01-30,Vigente,48.0,27916679.0,,
10109,9,5132,PUN-539189,2800000,2.49,3.39,2024-07-16,,Vigente,,,2500000.0,2.0
10110,9,8086,LNL-048738,6100000,2.36,3.06,2023-04-30,,En_Mora,,,5700000.0,15.0
10111,11,7357,KTT-964938,24000000,1.78,2.16,2023-12-19,,Vigente,,,22200000.0,15.0
10112,8,7357,WDZ-319879,16300000,1.68,2.13,2024-01-22,2027-01-06,Vigente,36.0,607096.0,,
10113,5,7357,JHY-718478,54900000,1.66,2.17,2024-04-19,2029-09-20,Vigente,66.0,1375316.0,,
10114,7,2996,GFW-052873,777700000,1.7,2.05,2024-04-02,2026-03-23,Vigente,24.0,39733800.0,,
10115,8,4900,WXQ-449967,21800000,1.41,1.73,2024-11-07,2027-10-23,Cancelada,36.0,776362.0,,
10116,9,4900,FWD-404453,6200000,2.07,2.61,2023-11-23,,Vigente,,,2700000.0,15.0
10117,5,4900,SEG-668177,18700000,2.03,2.81,2023-09-19,2030-02-14,Vigente,78.0,479643.0,,
10118,7,3517,KGI-246338,934200000,1.75,2.26,2023-05-01,2029-03-30,En_Mora,72.0,22921528.0,,
10119,9,3517,KOF-129541,2600000,2.71,3.51,2024-04-22,,Vigente,,,2300000.0,2.0
10120,8,3517,RGV-964171,10700000,1.57,1.92,2023-12-04,2026-11-18,Vigente,36.0,391354.0,,
10121,10,2661,VGS-053666,5300000,2.51,3.49,2024-06-20,,Vigente,,,4100000.0,2.0
10122,11,2661,HZA-868910,23200000,1.39,1.82,2024-05-09,,Vigente,,,13600000.0,2.0
10123,5,2661,KJK-592686,21600000,1.98,2.48,2023-06-02,2029-10-28,Vigente,78.0,545987.0,,
10124,6,4420,OWC-502884,366300000,0.95,1.22,2023-01-10,2039-10-13,En_Mora,204.0,4071499.0,,
10125,10,4420,WAF-188925,14200000,2.13,2.68,2023-02-17,,Vigente,,,9700000.0,2.0
10126,5,7325,GBP-659367,58800000,1.6,2.23,2024-12-06,2028-11-15,Vigente,48.0,1764339.0,,
10127,9,7325,QUS-017673,4900000,2.05,2.85,2024-04-06,,Vigente,,,3000000.0,15.0
10128,10,7325,ELO-403053,5900000,2.58,3.33,2023-04-20,,Vigente,,,4900000.0,2.0
10129,8,7325,XZO-131340,2500000,1.41,1.8,2024-01-30,2027-07-13,Cancelada,42.0,79285.0,,
10130,8,9581,CHY-368338,37900000,1.72,2.15,2023-09-15,2026-08-30,Vigente,36.0,1420889.0,,
10131,10,9581,EKI-769732,14700000,1.65,2.09,2024-10-28,,Vigente,,,14200000.0,2.0
10132,5,7862,HSV-744626,5100000,2.21,3.07,2024-07-17,2029-12-18,Vigente,66.0,147581.0,,
10133,7,7862,NYW-409785,978500000,1.07,1.39,2024-03-09,2029-02-11,Vigente,60.0,22183819.0,,
10134,10,7862,QQZ-371027,6100000,1.92,2.56,2023-03-29,,Vigente,,,2500000.0,2.0
10135,8,7862,RRD-942908,24100000,1.58,1.97,2024-07-25,2027-01-11,Vigente,30.0,1014922.0,,
10136,9,7862,LSI-381866,4100000,2.06,2.8,2023-05-26,,Vigente,,,2700000.0,15.0
10137,5,2639,ERK-784402,46100000,2.04,2.54,2023-12-05,2030-10-29,Vigente,84.0,1151583.0,,
10138,9,2639,FCR-493331,6500000,2.44,2.96,2023-10-13,,Vigente,,,2400000.0,2.0
10139,11,2639,PRI-213135,26900000,1.77,2.41,2023-12-27,,Cancelada,,,21400000.0,15.0
10140,8,5457,BJA-189546,8300000,1.29,1.57,2024-07-22,2028-07-01,Vigente,48.0,233020.0,,
10141,9,5457,HNE-477511,6300000,2.1,2.59,2024-03-01,,Vigente,,,4400000.0,2.0
10142,11,5457,ZCV-729438,26500000,1.59,2.17,2024-07-10,,Vigente,,,8700000.0,15.0
10143,7,6099,UON-519259,790800000,1.43,1.8,2024-12-28,2027-12-13,En_Mora,36.0,28257188.0,,
10144,5,6099,ZWD-827876,78900000,1.56,1.9,2024-06-10,2031-05-05,Cancelada,84.0,1691770.0,,
10145,9,6119,WLM-588096,5800000,2.52,3.07,2023-03-19,,Vigente,,,3800000.0,15.0
10146,7,6119,VMI-251878,526100000,1.06,1.33,2024-12-15,2027-11-30,Cancelada,36.0,17655519.0,,
10147,5,4936,LZX-838803,12600000,2.26,2.91,2023-01-17,2026-12-27,Castigada,48.0,432816.0,,
10148,9,9092,CCF-055403,2300000,2.39,2.89,2024-01-16,,Vigente,,,1700000.0,2.0
10149,8,9753,DUT-191506,5400000,1.81,2.19,2024-01-28,2026-01-17,Cancelada,24.0,279396.0,,
10150,5,7521,DSJ-472626,50400000,1.62,2.01,2024-02-26,2028-08-03,Vigente,54.0,1407429.0,,
10151,9,7521,PEK-677232,3700000,2.64,3.18,2024-09-14,,Vigente,,,3300000.0,15.0
10152,10,1415,EMZ-050299,14300000,1.66,2.28,2024-01-05,,Vigente,,,10000000.0,15.0
10153,5,1415,KQN-100991,42000000,1.82,2.37,2024-02-12,2031-01-06,Vigente,84.0,979744.0,,
10154,11,1415,LYG-291606,17800000,2.0,2.73,2023-12-01,,Vigente,,,13800000.0,2.0
10155,8,9376,SED-728708,2400000,1.5,1.85,2024-12-19,2027-12-04,En_Mora,36.0,86766.0,,
10156,11,9376,JMO-321572,20500000,1.64,2.29,2023-10-06,,Vigente,,,15200000.0,15.0
10157,5,9376,JDY-859743,3200000,2.34,2.81,2024-06-05,2028-05-15,Vigente,48.0,111673.0,,
10158,5,3730,BMH-835025,41700000,2.03,2.51,2023-05-03,2027-04-12,Cancelada,48.0,1367809.0,,
10159,10,3730,OUD-905660,12400000,1.79,2.28,2023-11-08,,En_Mora,,,12200000.0,2.0
10160,10,3221,CXX-573900,14800000,1.89,2.63,2024-06-26,,En_Mora,,,14500000.0,2.0
10161,8,3221,ZGG-387732,26200000,1.39,1.75,2023-05-17,2024-05-11,Cancelada,12.0,2385588.0,,
10162,7,9354,FIG-116860,622000000,1.31,1.59,2023-06-18,2027-05-28,Cancelada,48.0,17538586.0,,
10163,8,1522,AKL-724810,17100000,1.05,1.29,2023-12-31,2027-12-10,Castigada,48.0,455363.0,,
10164,5,1522,GVA-094198,13100000,2.23,2.84,2023-08-16,2028-01-22,Vigente,54.0,419683.0,,
10165,11,1522,KAR-121280,12500000,2.4,2.9,2023-12-06,,Cancelada,,,11800000.0,15.0
10166,9,1522,HDF-856879,5700000,2.31,3.0,2024-09-26,,Vigente,,,5200000.0,15.0
10167,9,3136,AVH-843521,7500000,2.13,2.72,2023-12-19,,En_Mora,,,3200000.0,15.0
10168,10,3136,YOZ-399123,11600000,1.83,2.49,2023-09-11,,En_Mora,,,10900000.0,2.0
10169,8,3136,OOE-984340,15600000,1.59,2.02,2024-12-15,2026-12-05,Cancelada,24.0,786981.0,,
10170,11,3566,VIA-597889,16600000,2.01,2.74,2023-01-01,,Cancelada,,,8900000.0,2.0
10171,8,3468,MIS-586368,7200000,1.16,1.5,2023-11-27,2027-11-06,Vigente,48.0,196462.0,,
10172,11,3468,UOE-386614,16100000,2.09,2.56,2024-01-23,,Cancelada,,,13000000.0,15.0
10173,8,8028,XLG-202103,26200000,1.96,2.51,2023-06-21,2026-12-02,Vigente,42.0,921169.0,,
10174,11,8028,MWQ-610823,29400000,1.9,2.47,2024-03-05,,Vigente,,,16600000.0,15.0
10175,5,8154,ZXS-466403,59400000,1.63,2.25,2023-06-14,2027-11-20,Vigente,54.0,1662618.0,,
10176,9,1399,ACV-640269,3400000,1.79,2.35,2023-11-01,,Vigente,,,3000000.0,2.0
10177,7,7528,JLG-422076,428300000,1.64,2.03,2024-11-07,2028-10-17,Cancelada,48.0,12960413.0,,
10178,8,7528,OVV-458484,27400000,1.81,2.25,2023-03-29,2027-03-08,Vigente,48.0,859107.0,,
10179,10,7528,TEZ-981494,8900000,2.42,2.92,2023-03-22,,Vigente,,,6200000.0,2.0
10180,5,7528,OOW-590757,14400000,2.02,2.55,2024-10-04,2029-03-12,Vigente,54.0,440473.0,,
10181,11,7528,OCH-534346,18300000,1.59,2.09,2023-04-26,,Cancelada,,,15200000.0,2.0
10182,9,7047,XAV-324608,4400000,2.56,3.43,2023-02-09,,Cancelada,,,1500000.0,15.0
10183,9,2659,WVN-135188,5900000,1.87,2.32,2024-09-11,,En_Mora,,,5200000.0,15.0
10184,8,8865,NQD-035185,3900000,1.36,1.66,2024-04-12,2026-04-02,Cancelada,24.0,191553.0,,
10185,8,2283,QRG-407709,3900000,1.85,2.36,2024-01-31,2025-07-24,Castigada,18.0,256720.0,,
10186,5,2283,SHX-842356,16300000,2.18,2.71,2024-10-24,2030-09-23,En_Mora,72.0,450749.0,,
10187,7,2283,PHR-432326,257400000,1.51,1.91,2024-08-21,2028-07-31,Vigente,48.0,7577275.0,,
10188,9,2283,RSR-924307,3800000,1.88,2.54,2024-10-29,,Vigente,,,3500000.0,15.0
10189,9,2932,SOX-986228,7000000,2.49,3.08,2023-06-24,,En_Mora,,,2600000.0,2.0
10190,8,2932,DBQ-564116,31900000,1.33,1.63,2024-03-06,2026-02-24,Vigente,24.0,1561314.0,,
10191,5,2932,IZX-918103,26000000,1.49,2.04,2024-06-26,2029-05-31,Castigada,60.0,658533.0,,
10192,8,1021,TCP-649301,10000000,1.77,2.23,2023-10-08,2025-03-31,Cancelada,18.0,653608.0,,
10193,5,1274,JPE-822753,59500000,1.4,1.93,2024-10-03,2030-09-02,Vigente,72.0,1317013.0,,
10194,7,1274,EXV-029205,1195200000,1.34,1.73,2024-12-04,2028-11-13,En_Mora,48.0,33921294.0,,
10195,8,2615,ARK-354166,25700000,1.59,1.92,2024-07-01,2025-06-26,Cancelada,12.0,2369405.0,,
10196,8,5875,QHU-467893,25000000,1.14,1.46,2024-09-29,2025-09-24,Cancelada,12.0,2240916.0,,
10197,10,5875,ARX-861057,8000000,1.69,2.2,2024-02-24,,Vigente,,,3600000.0,15.0
10198,9,5053,ITC-708613,2300000,2.55,3.51,2024-04-20,,En_Mora,,,2100000.0,15.0
10199,5,9687,QUC-609145,77100000,1.31,1.67,2024-02-14,2031-07-07,En_Mora,90.0,1463677.0,,
10200,6,9687,WWS-844840,355300000,1.01,1.25,2024-08-05,2036-06-03,Vigente,144.0,4692425.0,,
10201,5,4941,RQD-886095,56900000,1.33,1.77,2024-12-05,2030-05-08,Vigente,66.0,1300535.0,,
10202,11,4941,HNO-380450,27000000,1.95,2.37,2024-04-25,,Vigente,,,17400000.0,2.0
10203,10,4941,AOV-796856,9500000,1.74,2.26,2024-05-25,,Vigente,,,7200000.0,2.0
10204,8,4941,ITP-734060,38100000,1.36,1.64,2024-04-12,2025-10-04,Cancelada,18.0,2400596.0,,
10205,10,1519,PEY-347714,14000000,1.97,2.69,2023-02-16,,Vigente,,,11500000.0,15.0
10206,9,1519,ATO-459796,7000000,2.22,3.01,2024-10-10,,Cancelada,,,4300000.0,2.0
10207,8,1006,HZZ-414772,35500000,1.42,1.79,2024-05-31,2027-11-12,En_Mora,42.0,1128009.0,,
10208,10,8715,QYN-631345,7100000,2.34,3.13,2023-07-25,,Castigada,,,6700000.0,2.0
10209,9,8715,NAD-617122,6300000,2.32,3.2,2024-11-14,,En_Mora,,,4200000.0,15.0
10210,5,8715,LQR-526357,56200000,1.47,1.99,2023-03-05,2027-02-12,Vigente,48.0,1640322.0,,
10211,5,1196,GQU-889767,76700000,1.77,2.23,2024-03-02,2028-02-10,Vigente,48.0,2384981.0,,
10212,8,1196,ERE-153451,30100000,1.2,1.53,2024-07-13,2026-01-04,Vigente,18.0,1869294.0,,
10213,10,1196,IBY-664537,13500000,1.56,2.02,2024-08-21,,Vigente,,,12900000.0,2.0
10214,5,1106,FIJ-275989,15300000,1.97,2.52,2024-06-01,2030-10-28,Vigente,78.0,385607.0,,
10215,11,1106,RIX-935298,12300000,1.88,2.35,2023-01-10,,Cancelada,,,9200000.0,2.0
10216,11,5686,FQF-682887,13900000,1.99,2.77,2024-10-29,,En_Mora,,,5800000.0,2.0
10217,10,5686,ABE-208944,11500000,2.42,3.27,2024-03-21,,En_Mora,,,4700000.0,15.0
10218,10,5870,BYC-730743,5100000,2.39,2.9,2024-07-01,,En_Mora,,,4200000.0,2.0
10219,8,5870,UOY-169773,3200000,1.16,1.42,2024-11-07,2028-04-20,Vigente,42.0,96684.0,,
10220,7,4978,TSF-981162,776500000,1.54,1.99,2024-08-09,2028-07-19,Vigente,48.0,23004911.0,,
10221,5,6806,PYJ-622014,45300000,1.55,1.88,2024-10-22,2029-03-30,Vigente,54.0,1244498.0,,
10222,9,2029,JRI-447416,7800000,1.82,2.3,2023-11-20,,Vigente,,,6600000.0,15.0
10223,5,2029,XBB-050545,67800000,1.77,2.17,2023-03-25,2028-08-25,Vigente,66.0,1749663.0,,
10224,10,9693,NKN-688615,8900000,2.45,3.23,2024-01-10,,Vigente,,,8000000.0,2.0
10225,9,8775,FXJ-440937,2200000,2.51,3.13,2024-01-03,,Vigente,,,1100000.0,2.0
10226,5,8775,JPX-029248,51800000,1.49,2.01,2024-06-17,2029-05-22,Vigente,60.0,1312000.0,,
10227,10,1087,PVR-431645,6700000,1.75,2.33,2024-03-26,,Vigente,,,3000000.0,2.0
10228,7,1087,DNX-119549,1025000000,1.02,1.23,2024-10-24,2030-09-23,Vigente,72.0,20167104.0,,
10229,9,9636,ZWE-867816,2700000,2.46,3.36,2023-01-20,,Vigente,,,2600000.0,2.0
10230,9,5076,DAN-968619,2400000,2.09,2.7,2023-06-21,,Vigente,,,1700000.0,2.0
10231,11,3391,JBN-287357,12600000,2.1,2.87,2024-11-06,,Vigente,,,11700000.0,15.0
10232,10,3391,WKE-775106,10800000,1.99,2.49,2024-12-14,,Vigente,,,9000000.0,2.0
10233,10,7427,ZKF-551549,11500000,1.82,2.5,2024-03-12,,En_Mora,,,6900000.0,15.0
10234,8,7427,DFU-915786,15100000,1.71,2.18,2024-08-14,2028-07-24,Cancelada,48.0,463692.0,,
10235,9,7427,MPC-236794,6200000,1.84,2.56,2024-12-01,,Cancelada,,,1900000.0,2.0
10236,10,9841,UNS-663690,11400000,1.98,2.46,2023-06-29,,Vigente,,,8700000.0,15.0
10237,9,9841,BCH-893926,6700000,2.01,2.57,2023-10-10,,En_Mora,,,4800000.0,2.0
10238,5,9841,CBH-989885,38000000,1.68,2.02,2023-07-19,2028-06-22,Vigente,60.0,1010154.0,,
10239,9,2771,FIY-508206,7200000,2.12,2.65,2024-08-23,,Vigente,,,4100000.0,2.0
10240,11,2771,TYE-722228,11500000,2.42,3.13,2023-12-17,,Vigente,,,6300000.0,15.0
10241,7,2771,RPT-504649,523800000,1.78,2.16,2024-09-25,2026-09-15,Vigente,24.0,27008514.0,,
10242,8,2771,FOB-745536,35000000,1.49,1.93,2024-08-11,2027-07-27,Vigente,36.0,1263228.0,,
10243,5,2771,AFP-362524,38200000,1.46,1.9,2023-06-28,2029-11-23,Vigente,78.0,823629.0,,
10244,5,2715,EDO-202243,19200000,2.07,2.64,2024-03-10,2031-02-02,Vigente,84.0,484021.0,,
10245,10,2715,ZWN-773553,13000000,2.21,2.86,2023-05-30,,Vigente,,,4000000.0,15.0
10246,9,2715,IJO-920189,3000000,1.96,2.45,2024-12-08,,Vigente,,,2700000.0,2.0
10247,9,8879,MYW-694649,6000000,2.15,2.9,2023-11-29,,Vigente,,,5500000.0,15.0
