id_mora,id_producto_activo,id_extracto,fecha_inicio_mora,dias_mora,capital_vencido,interes_mora,estado_mora
30083,10073,2020,2025-07-17,167,131158657.0,15624494.0,Activa
30084,10073,2021,2025-08-17,136,136206452.0,13213842.0,Activa
30085,10073,2022,2025-09-17,105,144536270.0,10825767.0,Activa
30086,10073,2023,2025-10-17,75,147957346.0,7915718.0,Activa
30087,10073,2024,2025-11-17,44,162638633.0,5104685.0,Activa
30088,10073,2025,2025-12-17,14,174755100.0,1745221.0,Activa
30089,10076,2080,2024-12-17,379,362404.0,103929.0,En Gestión
30090,10078,2114,2023-06-17,928,4475000.0,3903632.0,En Gestión
30091,10078,2116,2023-08-17,867,5018000.0,4089570.0,Liquidada
30092,10078,2117,2023-09-17,836,15012508.0,11797429.0,En Gestión
30093,10078,2119,2023-11-17,775,21179430.0,15429215.0,En Gestión
30094,10078,2120,2023-12-17,745,33215690.0,23260948.0,Activa
30095,10078,2131,2024-11-17,409,14228438.0,5470265.0,Activa
30096,10078,2132,2024-12-17,379,21177680.0,7544760.0,Activa
30097,10078,2139,2025-07-17,167,11772000.0,1847969.0,Activa
30098,10083,2250,2023-06-17,928,2553000.0,2479746.0,Activa
30099,10083,2255,2023-11-17,775,3271000.0,2653326.0,Activa
30100,10083,2261,2024-05-17,593,2321250.0,1440738.0,Activa
30101,10083,2262,2024-06-17,562,4308137.0,2534161.0,En Gestión
30102,10083,2266,2024-10-17,440,6577426.0,3029124.0,Activa
30103,10083,2272,2025-04-17,258,3949186.0,1066438.0,Activa
30104,10083,2274,2025-06-17,197,4066595.0,838505.0,Activa
30105,10083,2277,2025-09-17,105,2002500.0,220075.0,Activa
30106,10083,2279,2025-11-17,44,2488690.0,114612.0,Liquidada
30107,10083,2280,2025-12-17,14,4610835.0,67564.0,En Gestión
30108,10084,2281,2023-02-17,1048,972000.0,825111.0,En Gestión
30109,10084,2282,2023-03-17,1020,4059620.0,3354058.0,Activa
30110,10084,2284,2023-05-17,959,4201000.0,3263295.0,En Gestión
30111,10084,2286,2023-07-17,898,5993542.0,4359583.0,Activa
30112,10084,2289,2023-10-17,806,3386500.0,2210910.0,Activa
30113,10084,2303,2024-12-17,379,9572125.0,2938547.0,Liquidada
30114,10084,2305,2025-02-17,317,2790000.0,716388.0,En Gestión
30115,10084,2310,2025-07-17,167,2830000.0,382814.0,En Gestión
30116,10084,2314,2025-11-17,44,3474000.0,123813.0,En Gestión
30117,10090,2433,2024-07-17,532,1768000.0,727379.0,En Gestión
30118,10090,2434,2024-08-17,501,19151018.0,7419870.0,En Gestión
30119,10090,2438,2024-12-17,379,18137500.0,5315980.0,Activa
30120,10090,2439,2025-01-17,348,32614290.0,8777158.0,Activa
30121,10090,2445,2025-07-17,167,15750000.0,2034060.0,Activa
30122,10090,2446,2025-08-17,136,18089400.0,1902522.0,Activa
30123,10092,2471,2024-08-17,501,1546153.0,444117.0,Activa
30124,10092,2474,2024-11-17,409,1546153.0,362563.0,Liquidada
30125,10092,2476,2025-01-17,348,1030769.0,205659.0,Liquidada
30126,10092,2478,2025-03-17,289,2070403.0,343052.0,Activa
30127,10092,2479,2025-04-17,258,3136783.0,463993.0,En Gestión
30128,10092,2482,2025-07-17,167,2601529.0,249088.0,Activa
30129,10092,2485,2025-10-17,75,1030769.0,44323.0,Liquidada
30130,10092,2486,2025-11-17,44,2079267.0,52453.0,Activa
30131,10092,2487,2025-12-17,14,3145799.0,25250.0,Activa
30132,10098,2610,2023-06-17,928,12531000.0,10504654.0,Activa
30133,10098,2611,2023-07-17,898,21883590.0,17751822.0,En Gestión
30134,10098,2621,2024-05-17,593,14262000.0,7639821.0,Activa
30135,10098,2623,2024-07-17,532,5009000.0,2407192.0,En Gestión
30136,10098,2626,2024-10-17,440,15068686.0,5989300.0,Liquidada
30137,10098,2637,2025-09-17,105,17267875.0,1637858.0,Activa
30138,10107,2863,2023-05-17,959,1370000.0,1300692.0,Activa
30139,10107,2869,2023-11-17,775,7373115.0,5657022.0,Liquidada
30140,10107,2876,2024-06-17,562,4002500.0,2226911.0,En Gestión
30141,10107,2890,2025-08-17,136,4516500.0,608102.0,Activa
30142,10107,2892,2025-10-17,75,11608820.0,861955.0,Activa
30143,10107,2894,2025-12-17,14,1265000.0,17533.0,Activa
30144,10110,2936,2023-04-17,989,1578000.0,1591855.0,En Gestión
30145,10110,2938,2023-06-17,928,5603644.0,5304185.0,En Gestión
30146,10110,2939,2023-07-17,898,7313116.0,6698522.0,Activa
30147,10110,2940,2023-08-17,867,8402897.0,7431018.0,Activa
30148,10110,2943,2023-11-17,775,7468756.0,5904052.0,Activa
30149,10110,2950,2024-06-17,562,4440125.0,2545257.0,Liquidada
30150,10110,2951,2024-07-17,532,7953993.0,4316155.0,En Gestión
30151,10110,2952,2024-08-17,501,8935385.0,4566160.0,Liquidada
30152,10110,2954,2024-10-17,440,8546404.0,3835626.0,Liquidada
30153,10110,2961,2025-05-17,228,4815500.0,1119893.0,Activa
30154,10110,2963,2025-07-17,167,6562927.0,1117929.0,En Gestión
30155,10110,2967,2025-11-17,44,4788500.0,214908.0,En Gestión
30156,10118,3154,2023-09-17,836,40112674.0,25262427.0,En Gestión
30157,10118,3155,2023-10-17,806,63940748.0,38823970.0,Activa
30158,10118,3156,2023-11-17,775,88307337.0,51556767.0,En Gestión
30159,10118,3157,2023-12-17,745,113224611.0,63545426.0,Activa
30160,10118,3159,2024-02-17,683,92274036.0,47477452.0,Activa
30161,10118,3160,2024-03-17,654,117280957.0,57781982.0,Activa
30162,10118,3161,2024-04-17,623,142853035.0,67044739.0,Liquidada
30163,10118,3165,2024-08-17,501,22921528.0,8651043.0,Liquidada
30164,10118,3166,2024-09-17,470,46361083.0,16414914.0,Activa
30165,10118,3167,2024-10-17,440,70330371.0,23312174.0,En Gestión
30166,10118,3168,2024-11-17,409,94841365.0,29221889.0,Activa
30167,10118,3169,2024-12-17,379,119906308.0,34234850.0,Liquidada
30168,10118,3170,2025-01-17,348,145537719.0,38154168.0,Liquidada
30169,10118,3172,2025-03-17,289,108795728.0,23686281.0,Activa
30170,10118,3180,2025-11-17,44,34382292.0,1139658.0,En Gestión
30171,10124,3298,2023-01-17,1079,4071499.0,1786547.0,En Gestión
30172,10124,3302,2023-05-17,959,6107249.0,2381786.0,Activa
30173,10124,3308,2023-11-17,775,4071499.0,1283201.0,En Gestión
30174,10124,3310,2024-01-17,714,8167834.0,2371612.0,En Gestión
30175,10124,3311,2024-02-17,683,12338981.0,3427193.0,En Gestión
30176,10124,3314,2024-05-17,593,10247503.0,2471220.0,En Gestión
30177,10124,3318,2024-09-17,470,6107249.0,1167299.0,Activa
30178,10124,3320,2024-11-17,409,9198127.0,1529894.0,Activa
30179,10124,3322,2025-01-17,348,4071499.0,576199.0,Activa
30180,10124,3325,2025-04-17,258,8155416.0,855666.0,Liquidada
30181,10124,3332,2025-11-17,44,4071499.0,72853.0,Liquidada
30182,10143,3782,2025-01-17,348,42385782.0,8850151.0,En Gestión
30183,10143,3789,2025-08-17,136,49450079.0,4035126.0,Activa
30184,10147,3948,2023-01-17,1079,432816.0,452998.0,Activa
30185,10147,3949,2023-02-17,1048,878227.0,892770.0,Activa
30186,10147,3950,2023-03-17,1020,1336599.0,1322431.0,Activa
30187,10147,3951,2023-04-17,989,1808310.0,1734766.0,Activa
30188,10147,3952,2023-05-17,959,2293748.0,2133713.0,Activa
30189,10147,3953,2023-06-17,928,2793312.0,2514428.0,Activa
30190,10147,3954,2023-07-17,898,3307413.0,2880955.0,Activa
30191,10147,3955,2023-08-17,867,3836475.0,3226437.0,Activa
30192,10147,3956,2023-09-17,836,4380932.0,3552585.0,Activa
30193,10147,3957,2023-10-17,806,4941233.0,3863155.0,Activa
30194,10147,3958,2023-11-17,775,5517839.0,4148035.0,Activa
30195,10147,3959,2023-12-17,745,6111224.0,4416276.0,Activa
30196,10147,3960,2024-01-17,714,6721877.0,4655438.0,Activa
30197,10147,3961,2024-02-17,683,7350300.0,4869647.0,Activa
30198,10147,3962,2024-03-17,654,7997010.0,5073143.0,Activa
30199,10147,3963,2024-04-17,623,8662539.0,5234859.0,Activa
30200,10147,3964,2024-05-17,593,9347435.0,5376738.0,Activa
30201,10147,3965,2024-06-17,562,10052261.0,5479890.0,Activa
30202,10147,3966,2024-07-17,532,10777598.0,5561672.0,Activa
30203,10147,3967,2024-08-17,501,11524042.0,5600339.0,Activa
30204,10147,3968,2024-09-17,470,12292208.0,5604018.0,Activa
30205,10147,3969,2024-10-17,440,13082727.0,5583708.0,Activa
30206,10147,3970,2024-11-17,409,13896250.0,5513059.0,Activa
30207,10147,3971,2024-12-17,379,14733447.0,5416457.0,Activa
30208,10147,3972,2025-01-17,348,15595006.0,5264250.0,Activa
30209,10147,3973,2025-02-17,317,16481637.0,5067939.0,Activa
30210,10147,3974,2025-03-17,289,17394069.0,4876079.0,Activa
30211,10147,3975,2025-04-17,258,18333052.0,4588030.0,Activa
30212,10147,3976,2025-05-17,228,19299360.0,4268246.0,Activa
30213,10147,3977,2025-06-17,197,20293787.0,3877940.0,Activa
30214,10147,3978,2025-07-17,167,21317152.0,3453165.0,Activa
30215,10147,3979,2025-08-17,136,22370297.0,2951090.0,Activa
30216,10147,3980,2025-09-17,105,23454089.0,2388799.0,Activa
30217,10147,3981,2025-10-17,75,24569419.0,1787425.0,Activa
30218,10147,3982,2025-11-17,44,25717205.0,1097610.0,Activa
30219,10147,3983,2025-12-17,14,26898392.0,365280.0,Activa
30220,10155,4144,2024-12-17,379,86766.0,20279.0,Activa
30221,10155,4155,2025-11-17,44,151840.0,4120.0,Liquidada
30222,10155,4156,2025-12-17,14,241415.0,2084.0,Liquidada
30223,10159,4254,2024-02-17,683,8509000.0,4416852.0,Activa
30224,10159,4255,2024-03-17,654,13359005.0,6639960.0,Activa
30225,10159,4257,2024-05-17,593,9647295.0,4347843.0,Activa
30226,10159,4263,2024-11-17,409,5437000.0,1690037.0,En Gestión
30227,10159,4264,2024-12-17,379,9494964.0,2734929.0,En Gestión
30228,10159,4266,2025-02-17,317,8786724.0,2116898.0,Activa
30229,10159,4267,2025-03-17,289,17366061.0,3814282.0,Activa
30230,10159,4271,2025-07-17,167,3855000.0,489277.0,En Gestión
30231,10159,4276,2025-12-17,14,9129000.0,97133.0,Activa
30232,10160,4277,2024-06-17,562,1540000.0,758737.0,Liquidada
30233,10160,4278,2024-07-17,532,2769502.0,1291659.0,Activa
30234,10160,4291,2025-08-17,136,13389500.0,1596385.0,Activa
30235,10160,4294,2025-11-17,44,9412000.0,363052.0,En Gestión
30236,10163,4357,2023-12-17,745,455363.0,145876.0,Activa
30237,10163,4358,2024-01-17,714,916600.0,281415.0,Activa
30238,10163,4359,2024-02-17,683,1383787.0,406404.0,Activa
30239,10163,4360,2024-03-17,654,1857001.0,522226.0,Activa
30240,10163,4361,2024-04-17,623,2336319.0,625876.0,Activa
30241,10163,4362,2024-05-17,593,2821821.0,719536.0,Activa
30242,10163,4363,2024-06-17,562,3313585.0,800761.0,Activa
30243,10163,4364,2024-07-17,532,3811693.0,871963.0,Activa
30244,10163,4365,2024-08-17,501,4316227.0,929845.0,Activa
30245,10163,4366,2024-09-17,470,4827269.0,975591.0,Activa
30246,10163,4367,2024-10-17,440,5344904.0,1011256.0,Activa
30247,10163,4368,2024-11-17,409,5869216.0,1032219.0,Activa
30248,10163,4369,2024-12-17,379,6400292.0,1043056.0,Activa
30249,10163,4370,2025-01-17,348,6938219.0,1038235.0,Activa
30250,10163,4371,2025-02-17,317,7483085.0,1020019.0,Activa
30251,10163,4372,2025-03-17,289,8034980.0,998507.0,Activa
30252,10163,4373,2025-04-17,258,8593994.0,953418.0,Activa
30253,10163,4374,2025-05-17,228,9160220.0,898068.0,Activa
30254,10163,4375,2025-06-17,197,9733750.0,824546.0,Activa
30255,10163,4376,2025-07-17,167,10314678.0,740697.0,Activa
30256,10163,4377,2025-08-17,136,10903100.0,637613.0,Activa
30257,10163,4378,2025-09-17,105,11499113.0,519185.0,Activa
30258,10163,4379,2025-10-17,75,12102815.0,390316.0,Activa
30259,10163,4380,2025-11-17,44,12714304.0,240555.0,Activa
30260,10163,4381,2025-12-17,14,13333682.0,80269.0,Activa
30261,10167,4454,2024-02-17,683,5717500.0,3540581.0,En Gestión
30262,10167,4456,2024-04-17,623,5794508.0,3273047.0,Activa
30263,10167,4457,2024-05-17,593,8173119.0,4394305.0,Activa
30264,10167,4458,2024-06-17,562,10724428.0,5464597.0,Liquidada
30265,10167,4459,2024-07-17,532,15121132.0,7293628.0,En Gestión
30266,10167,4463,2024-11-17,409,4792000.0,1777001.0,Activa
30267,10167,4473,2025-09-17,105,1424500.0,135612.0,Activa
30268,10167,4475,2025-11-17,44,7320123.0,292024.0,Activa
30269,10168,4477,2023-09-17,836,3060000.0,2123273.0,Activa
30270,10168,4482,2024-02-17,683,8538200.0,4840220.0,Activa
30271,10168,4483,2024-03-17,654,13085801.0,7103234.0,Activa
30272,10168,4486,2024-06-17,562,13105409.0,6113149.0,Activa
30273,10168,4487,2024-07-17,532,14687734.0,6485516.0,Activa
30274,10168,4493,2025-01-17,348,6897000.0,1992129.0,Activa
30275,10168,4502,2025-10-17,75,8722000.0,542944.0,En Gestión
30276,10183,4933,2025-05-17,228,3925500.0,692144.0,Activa
30277,10183,4936,2025-08-17,136,1830000.0,192467.0,Liquidada
30278,10183,4937,2025-09-17,105,3394456.0,275630.0,Liquidada
30279,10185,4966,2024-01-17,714,256720.0,144194.0,Activa
30280,10185,4967,2024-02-17,683,519499.0,279123.0,Activa
30281,10185,4968,2024-03-17,654,788479.0,405657.0,Activa
30282,10185,4969,2024-04-17,623,1063807.0,521365.0,Activa
30283,10185,4970,2024-05-17,593,1345633.0,627729.0,Activa
30284,10185,4971,2024-06-17,562,1634110.0,722451.0,Activa
30285,10185,4972,2024-07-17,532,1929395.0,807465.0,Activa
30286,10185,4973,2024-08-17,501,2231649.0,879538.0,Activa
30287,10185,4974,2024-09-17,470,2541036.0,939506.0,Activa
30288,10185,4975,2024-10-17,440,2857724.0,989154.0,Activa
30289,10185,4976,2024-11-17,409,3181886.0,1023761.0,Activa
30290,10185,4977,2024-12-17,379,3513699.0,1047598.0,Activa
30291,10185,4978,2025-01-17,348,3853342.0,1054891.0,Activa
30292,10185,4979,2025-02-17,317,4201001.0,1047618.0,Activa
30293,10185,4980,2025-03-17,289,4556865.0,1035988.0,Activa
30294,10185,4981,2025-04-17,258,4921127.0,998792.0,Activa
30295,10185,4982,2025-05-17,228,5293986.0,949529.0,Activa
30296,10185,4983,2025-06-17,197,5675644.0,879573.0,Activa
30297,10185,4984,2025-07-17,167,6066309.0,796951.0,Activa
30298,10185,4985,2025-08-17,136,6466194.0,691797.0,Activa
30299,10185,4986,2025-09-17,105,6875516.0,567918.0,Activa
30300,10185,4987,2025-10-17,75,7294498.0,430375.0,Activa
30301,10185,4988,2025-11-17,44,7723368.0,267332.0,Activa
30302,10185,4989,2025-12-17,14,8162359.0,89895.0,Activa
30303,10186,4991,2024-11-17,409,676123.0,249803.0,Activa
30304,10186,4996,2025-04-17,258,916729.0,213653.0,Activa
30305,10186,4999,2025-07-17,167,450749.0,67998.0,En Gestión
30306,10186,5004,2025-12-17,14,450749.0,5700.0,Activa
30307,10189,5046,2024-03-17,654,4778312.0,3208350.0,Activa
30308,10189,5050,2024-07-17,532,4353000.0,2377551.0,Liquidada
30309,10189,5051,2024-08-17,501,8479072.0,4361295.0,En Gestión
30310,10189,5064,2025-09-17,105,2919000.0,314668.0,Activa
30311,10189,5066,2025-11-17,44,4207000.0,190044.0,En Gestión
30312,10189,5067,2025-12-17,14,9039576.0,129929.0,En Gestión
30313,10191,5090,2024-06-17,562,658533.0,251665.0,Activa
30314,10191,5091,2024-07-17,532,1330500.0,481322.0,Activa
30315,10191,5092,2024-08-17,501,2016175.0,686870.0,Activa
30316,10191,5093,2024-09-17,470,2715838.0,867982.0,Activa
30317,10191,5094,2024-10-17,440,3429774.0,1026188.0,Activa
30318,10191,5095,2024-11-17,409,4158274.0,1156499.0,Activa
30319,10191,5096,2024-12-17,379,4901636.0,1263250.0,Activa
30320,10191,5097,2025-01-17,348,5660162.0,1339421.0,Activa
30321,10191,5098,2025-02-17,317,6434162.0,1386948.0,Activa
30322,10191,5099,2025-03-17,289,7223952.0,1419651.0,Activa
30323,10191,5100,2025-04-17,258,8029854.0,1408758.0,Activa
30324,10191,5101,2025-05-17,228,8852196.0,1372444.0,Activa
30325,10191,5102,2025-06-17,197,9691314.0,1298248.0,Activa
30326,10191,5103,2025-07-17,167,10547550.0,1197780.0,Activa
30327,10191,5104,2025-08-17,136,11421253.0,1056237.0,Activa
30328,10191,5105,2025-09-17,105,12312780.0,879132.0,Activa
30329,10191,5106,2025-10-17,75,13222494.0,674347.0,Activa
30330,10191,5107,2025-11-17,44,14150766.0,423391.0,Activa
30331,10191,5108,2025-12-17,14,15097975.0,143733.0,Activa
30332,10194,5142,2024-12-17,379,33921294.0,7413725.0,Activa
30333,10194,5148,2025-06-17,197,50881941.0,5780358.0,Activa
30334,10194,5149,2025-07-17,167,85683493.0,8251606.0,Activa
30335,10194,5150,2025-08-17,136,121087111.0,9496458.0,Activa
30336,10194,5151,2025-09-17,105,157103212.0,9512599.0,Activa
30337,10198,5210,2024-11-17,409,2620750.0,1254107.0,En Gestión
30338,10198,5211,2024-12-17,379,4021738.0,1783359.0,En Gestión
30339,10198,5216,2025-05-17,228,1495125.0,398840.0,Liquidada
30340,10198,5218,2025-07-17,167,2187802.0,427475.0,Activa
30341,10198,5222,2025-11-17,44,770750.0,39678.0,Activa
30342,10199,5226,2024-04-17,623,2195515.0,761412.0,Activa
30343,10199,5229,2024-07-17,532,1463677.0,433463.0,Liquidada
30344,10199,5230,2024-08-17,501,2951797.0,823227.0,Activa
30345,10199,5233,2024-11-17,409,1463677.0,333245.0,Activa
30346,10199,5237,2025-03-17,289,1463677.0,235471.0,Activa
30347,10199,5239,2025-05-17,228,1463677.0,185770.0,Activa
30348,10199,5240,2025-06-17,197,2951797.0,323704.0,Activa
30349,10199,5242,2025-08-17,136,1463677.0,110810.0,Activa
30350,10199,5244,2025-10-17,75,1463677.0,61109.0,Liquidada
30351,10207,5388,2024-06-17,562,1692013.0,567377.0,Activa
30352,10207,5392,2024-10-17,440,2330305.0,611783.0,Liquidada
30353,10207,5393,2024-11-17,409,3500026.0,854135.0,En Gestión
30354,10207,5398,2025-04-17,258,2115017.0,325586.0,Activa
30355,10207,5400,2025-06-17,197,1128009.0,132590.0,Liquidada
30356,10208,5407,2023-07-17,898,4535000.0,4248902.0,Activa
30357,10208,5408,2023-08-17,867,7459946.0,6748043.0,Activa
30358,10208,5409,2023-09-17,836,13210442.0,11522500.0,Activa
30359,10208,5410,2023-10-17,806,17190929.0,14456311.0,Activa
30360,10208,5411,2023-11-17,775,21486005.0,17373226.0,Activa
30361,10208,5412,2023-12-17,745,27238517.0,21172045.0,Activa
30362,10208,5413,2024-01-17,714,32499083.0,24209867.0,Activa
30363,10208,5414,2024-02-17,683,35526304.0,25315926.0,Activa
30364,10208,5415,2024-03-17,654,39118277.0,26691965.0,Activa
30365,10208,5416,2024-04-17,623,41709679.0,27111152.0,Activa
30366,10208,5417,2024-05-17,593,47092192.0,29135782.0,Activa
30367,10208,5418,2024-06-17,562,51100178.0,29962760.0,Activa
30368,10208,5419,2024-07-17,532,53818614.0,29872201.0,Activa
30369,10208,5420,2024-08-17,501,56841137.0,29711431.0,Activa
30370,10208,5421,2024-09-17,470,61653265.0,30232706.0,Activa
30371,10208,5422,2024-10-17,440,63945012.0,29355024.0,Activa
30372,10208,5423,2024-11-17,409,71331491.0,30438812.0,Activa
30373,10208,5424,2024-12-17,379,77461167.0,30629953.0,Activa
30374,10208,5425,2025-01-17,348,84690702.0,30749500.0,Activa
30375,10208,5426,2025-02-17,317,90843521.0,30045283.0,Activa
30376,10208,5427,2025-03-17,289,99081923.0,29875512.0,Activa
30377,10208,5428,2025-04-17,258,104634187.0,28165430.0,Activa
30378,10208,5429,2025-05-17,228,113244237.0,26938539.0,Activa
30379,10208,5430,2025-06-17,197,120616782.0,24791171.0,Activa
30380,10208,5431,2025-07-17,167,129845087.0,22623775.0,Activa
30381,10208,5432,2025-08-17,136,136693238.0,19395859.0,Activa
30382,10208,5433,2025-09-17,105,146377736.0,16035681.0,Activa
30383,10208,5434,2025-10-17,75,153397359.0,12003343.0,Activa
30384,10208,5435,2025-11-17,44,158692696.0,7285053.0,Activa
30385,10208,5436,2025-12-17,14,167810777.0,2451156.0,Activa
30386,10209,5443,2025-05-17,228,6520062.0,1585679.0,En Gestión
30387,10209,5447,2025-09-17,105,3333750.0,373380.0,Liquidada
30388,10209,5448,2025-10-17,75,4924430.0,393954.0,Liquidada
30389,10209,5449,2025-11-17,44,8345012.0,391659.0,En Gestión
30390,10216,5598,2024-11-17,409,12063500.0,4555700.0,Activa
30391,10216,5599,2024-12-17,379,18536659.0,6486780.0,Activa
30392,10216,5602,2025-03-17,289,12048281.0,3215003.0,Activa
30393,10216,5606,2025-07-17,167,10621002.0,1637723.0,Activa
30394,10216,5609,2025-10-17,75,9499801.0,657861.0,Activa
30395,10217,5614,2024-05-17,593,4154250.0,2685183.0,Activa
30396,10217,5615,2024-06-17,562,12341094.0,7559907.0,Liquidada
30397,10217,5616,2024-07-17,532,17474648.0,10133199.0,Activa
30398,10217,5621,2024-12-17,379,13395754.0,5533920.0,En Gestión
30399,10217,5625,2025-04-17,258,15433724.0,4340272.0,Activa
30400,10217,5627,2025-06-17,197,7594000.0,1630660.0,Activa
30401,10218,5637,2024-10-17,440,2006000.0,853219.0,Liquidada
30402,10218,5640,2025-01-17,348,4435500.0,1492102.0,Liquidada
30403,10218,5642,2025-03-17,289,157000.0,43861.0,En Gestión
30404,10218,5643,2025-04-17,258,3930553.0,980280.0,En Gestión
30405,10218,5649,2025-10-17,75,2870000.0,208075.0,Activa
30406,10233,5958,2024-05-17,593,4542000.0,2244505.0,Activa
30407,10233,5963,2024-10-17,440,4488000.0,1645600.0,Liquidada
30408,10233,5972,2025-07-17,167,2914000.0,405532.0,Activa
